ModelId	State	LabelName
10.0.0.45-107.22.209.37-80-tcp	9	
10.0.0.45-107.22.215.74-443-tcp	88*	
10.0.0.45-107.22.225.166-443-tcp	88+	
10.0.0.45-107.22.225.24-443-tcp	9	
10.0.0.45-107.22.225.24-80-tcp	96.Z000W.Z*W.Z0W.Z0000000000000W.	
10.0.0.45-107.22.227.71-443-tcp	9	
10.0.0.45-107.22.227.71-80-tcp	96.	
10.0.0.45-107.22.237.47-80-tcp	9	
10.0.0.45-107.22.239.145-443-tcp	8	
10.0.0.45-107.23.102.31-80-tcp	66.W,W.	
10.0.0.45-107.23.135.110-443-tcp	96.	
10.0.0.45-107.23.152.161-80-tcp	96.F.F.	
10.0.0.45-107.23.183.223-80-tcp	96.	
10.0.0.45-107.23.192.248-80-tcp	99.w.	
10.0.0.45-107.23.218.180-80-tcp	85.Y*Y.H.y.H.	
10.0.0.45-107.23.218.180-843-tcp	5	
10.0.0.45-107.23.228.60-80-tcp	85.	
10.0.0.45-107.23.245.49-80-tcp	99.I.W.	
10.0.0.45-107.23.249.242-80-tcp	88.Y.Y.Y.Y,Y0Y.Y.y.y.	
10.0.0.45-107.23.249.242-843-tcp	550	
10.0.0.45-107.23.46.27-80-tcp	96.Z*W.	
10.0.0.45-107.23.57.65-80-tcp	88.Y,y.y.Y.Y00000000000000000000W.Y,	
10.0.0.45-107.23.57.65-843-tcp	5	
10.0.0.45-107.23.96.72-443-tcp	96.	
10.0.0.45-108.160.162.112-443-tcp	9900000000Z0z0000z0z0z0z00000z0z00z0Z000000000000000000Z0z00z0	
10.0.0.45-108.160.163.106-443-tcp	990Z0000000000000Z0Z00000000Z0Z0000000000000000000Z0	
10.0.0.45-108.160.166.57-443-tcp	990Z0000000000000000000000000000000000000Z0	
10.0.0.45-108.160.167.156-443-tcp	990z0z0z000z0z0z0Z000000000Z0z0z00z0Z00000Z0z00z0	
10.0.0.45-108.160.167.161-443-tcp	990Z00000z0Z00000000000000000000000z00000000000	
10.0.0.45-108.160.167.162-443-tcp	9900000000000000000000000000000000000Z0Z0000000000Z0	
10.0.0.45-108.160.169.41-443-tcp	990Z*Z0Z000000000Z0Z000000I0000000Z0Z0000000Z0Z000000000000000000Z0	
10.0.0.45-108.160.169.43-443-tcp	990Z0000000000000000Z0Z0000000Z0z0000z0Z0000000Z0	
10.0.0.45-108.160.169.46-443-tcp	990z0000z0Z00000000000000Z0	
10.0.0.45-108.160.169.52-443-tcp	990000000Z0Z0000000000Z0Z000000000000Z0z0z0z0z0Z000000Z0	
10.0.0.45-108.160.169.55-443-tcp	9900000Z0Z000000000000000000000000000Z0	
10.0.0.45-108.160.172.193-443-tcp	59,z+z*z+Z*I0i0z000z*i0i0i0I*I0i0z00z0z00z*i*Z+Z000z*z0z00z*z00z*z000z0000z*z0Z*z+z*z*Z0a0Z+Z*I0I0I0z00i00z*I*Z*Z0I*	
10.0.0.45-108.160.172.200-443-tcp	96.	
10.0.0.45-108.160.172.201-443-tcp	9	
10.0.0.45-108.160.172.204-443-tcp	8800000h00000y0000000000000I00000000000000000Y*z*Y.Y00y0000000000	
10.0.0.45-108.160.172.206-443-tcp	990	
10.0.0.45-108.160.172.225-443-tcp	99+y+y,z,y+Z0z*Z00z*Z000000000Z0z*z0z*z0z0I0z00i0z000z*Z*Z00z0z0z*z*Z0z000z*z*I*Z00000Z0z0z000000Z*	
10.0.0.45-108.160.172.232-443-tcp	96.	
10.0.0.45-108.160.172.236-443-tcp	99+Y.Y,z+y+Z,Z+Y.Y00000000000000y00000h0000h0000h00000h00000z0Y,Z*Y.Y*Y00000y00	
10.0.0.45-108.160.172.238-443-tcp	96.Z*W.	
10.0.0.45-108.162.83.211-53438-udp	2	
10.0.0.45-108.168.160.67-443-tcp	99.	
10.0.0.45-108.168.160.68-80-tcp	88.S+Y,Y.Y+Y.S+	
10.0.0.45-108.227.248.67-24775-udp	2	
10.0.0.45-108.39.225.79-38479-udp	5	
10.0.0.45-109.110.77.112-53496-udp	5	
10.0.0.45-109.111.26.233-16219-udp	1	
10.0.0.45-109.134.211.3-2800-udp	1	
10.0.0.45-109.148.50.214-8791-tcp	2	
10.0.0.45-109.148.50.214-8791-udp	9200s00000b00000b00000	
10.0.0.45-109.154.183.188-49845-tcp	88*Z.Z*Z+Z*I*Z,Y+Z*I*Z,I.Z*Z,Z*Z.	
10.0.0.45-109.161.15.60-52323-udp	5	
10.0.0.45-109.200.201.222-443-tcp	99.Z.Z,	
10.0.0.45-109.211.13.2-2661-tcp	890Z0000000000000	
10.0.0.45-109.225.30.108-65017-udp	2	
10.0.0.45-109.229.16.92-4810-tcp	9	
10.0.0.45-109.229.16.92-4810-udp	9	
10.0.0.45-109.232.194.248-80-tcp	86.	
10.0.0.45-109.232.195.140-443-tcp	9	
10.0.0.45-109.232.195.140-80-tcp	99.e.	
10.0.0.45-109.239.110.104-80-tcp	86.V0Y.	
10.0.0.45-109.30.89.238-39724-tcp	9	
10.0.0.45-109.88.171.33-35227-tcp	9	
10.0.0.45-109.89.103.113-46103-tcp	9	
10.0.0.45-110.163.127.65-32185-tcp	9	
10.0.0.45-110.163.127.65-32185-udp	6	
10.0.0.45-110.165.253.87-18659-tcp	5	
10.0.0.45-110.33.69.142-63394-udp	2	
10.0.0.45-111.221.74.12-40017-udp	2	
10.0.0.45-111.221.74.12-40026-udp	6	
10.0.0.45-111.221.74.13-40009-udp	6	
10.0.0.45-111.221.74.13-40011-udp	6	
10.0.0.45-111.221.74.13-40024-udp	2	
10.0.0.45-111.221.74.13-40030-udp	2	
10.0.0.45-111.221.74.14-40015-udp	6	
10.0.0.45-111.221.74.14-40016-udp	5	
10.0.0.45-111.221.74.14-40018-udp	6	
10.0.0.45-111.221.74.14-40023-udp	220000B00000	
10.0.0.45-111.221.74.14-40024-udp	5	
10.0.0.45-111.221.74.14-40029-udp	5	
10.0.0.45-111.221.74.14-443-udp	2	
10.0.0.45-111.221.74.15-40001-udp	2	
10.0.0.45-111.221.74.15-40008-udp	9	
10.0.0.45-111.221.74.15-40012-udp	6	
10.0.0.45-111.221.74.15-443-udp	2	
10.0.0.45-111.221.74.16-40005-udp	2	
10.0.0.45-111.221.74.16-40006-udp	950S000000000s0000B00000B00000b00000B00000	
10.0.0.45-111.221.74.17-40014-udp	8	
10.0.0.45-111.221.74.17-40020-udp	6	
10.0.0.45-111.221.74.17-40027-udp	22000000000000000000000000	
10.0.0.45-111.221.74.18-40001-udp	2	
10.0.0.45-111.221.74.18-40005-udp	5	
10.0.0.45-111.221.74.18-40013-udp	2	
10.0.0.45-111.221.74.18-40017-udp	5200000000000000000000000000000s00000000000	
10.0.0.45-111.221.74.18-40020-udp	2	
10.0.0.45-111.221.74.18-443-udp	2	
10.0.0.45-111.221.74.19-40013-udp	6	
10.0.0.45-111.221.74.19-443-udp	2	
10.0.0.45-111.221.74.20-40017-udp	82000000000000000000000000000000000000	
10.0.0.45-111.221.74.20-40026-udp	5500000000000000000000v00000e00000E00000z00V00000000000	
10.0.0.45-111.221.74.20-40027-udp	5	
10.0.0.45-111.221.74.20-40033-udp	560	
10.0.0.45-111.221.74.21-40017-udp	620000000000000000000000000000000s000000000s000000000000	
10.0.0.45-111.221.74.21-443-udp	2	
10.0.0.45-111.221.74.22-40001-udp	220000b0000B00000B00000	
10.0.0.45-111.221.74.22-40015-udp	2	
10.0.0.45-111.221.74.22-40016-udp	92000000000000s00000B00000b00000z000000000000s0000000v0000	
10.0.0.45-111.221.74.22-40019-udp	5	
10.0.0.45-111.221.74.22-40031-udp	2	
10.0.0.45-111.221.74.23-40008-udp	6	
10.0.0.45-111.221.74.23-40031-tcp	8	
10.0.0.45-111.221.74.23-40031-udp	22000000000000000000	
10.0.0.45-111.221.74.23-443-udp	2	
10.0.0.45-111.221.74.24-40001-udp	2	
10.0.0.45-111.221.74.24-40016-udp	2	
10.0.0.45-111.221.74.24-40019-udp	2	
10.0.0.45-111.221.74.24-40024-udp	250	
10.0.0.45-111.221.74.25-40004-udp	5	
10.0.0.45-111.221.74.25-40016-udp	62000000000000000s000000000000000000000000000s000000000	
10.0.0.45-111.221.74.26-40005-udp	520000000000000000000000000000000s000000000E00000000000	
10.0.0.45-111.221.74.26-40034-udp	650000000000000000000000000000000000000000v00000000	
10.0.0.45-111.221.74.27-40003-udp	2	
10.0.0.45-111.221.74.27-40005-udp	620S0000000000000000000000000000000w000000000	
10.0.0.45-111.221.74.27-40016-udp	5	
10.0.0.45-111.221.74.27-40027-udp	5	
10.0.0.45-111.221.74.27-40032-udp	2	
10.0.0.45-111.221.74.27-40033-udp	220S0000000000000000000000000000000000000000v000000000000	
10.0.0.45-111.221.74.27-443-udp	2	
10.0.0.45-111.221.74.28-40001-udp	560	
10.0.0.45-111.221.74.28-40026-udp	5	
10.0.0.45-111.221.74.29-40001-udp	520S0000000000000000000B000000000000000000000	
10.0.0.45-111.221.74.29-40012-udp	5500000000000000000000v00000z0000000000000	
10.0.0.45-111.221.74.29-40016-udp	2	
10.0.0.45-111.221.74.30-40024-udp	250	
10.0.0.45-111.221.74.30-40027-rtcp	5	
10.0.0.45-111.221.74.30-40032-udp	2	
10.0.0.45-111.221.74.30-443-udp	2	
10.0.0.45-111.221.74.31-40007-udp	52000000000000000000000000000w000000000000	
10.0.0.45-111.221.74.31-40032-udp	2	
10.0.0.45-111.221.74.32-40007-udp	2	
10.0.0.45-111.221.74.32-40010-udp	5	
10.0.0.45-111.221.74.32-40027-udp	22000000000B0000000000v0000000000000000000000000	
10.0.0.45-111.221.74.33-40017-udp	9	
10.0.0.45-111.221.74.33-40020-udp	8200000000000000000000000000000000000000	
10.0.0.45-111.221.74.33-40021-udp	260	
10.0.0.45-111.221.74.33-40022-udp	8	
10.0.0.45-111.221.74.33-40032-udp	6200000000000000000000000000000000000000S00s00000000000	
10.0.0.45-111.221.74.34-40033-udp	5	
10.0.0.45-111.221.74.34-443-udp	2	
10.0.0.45-111.221.74.37-40006-udp	9	
10.0.0.45-111.221.74.37-40011-udp	6	
10.0.0.45-111.221.74.37-40013-udp	8	
10.0.0.45-111.221.74.37-40015-udp	9200000000000B0000000000	
10.0.0.45-111.221.74.37-40029-udp	550S000000000000000000000000000000000000000	
10.0.0.45-111.221.74.38-40011-udp	2	
10.0.0.45-111.221.74.38-40030-udp	5	
10.0.0.45-111.221.74.38-40032-udp	5	
10.0.0.45-111.221.74.39-40001-udp	620000000s000000000000000000000s00000000000000	
10.0.0.45-111.221.74.39-40008-udp	9	
10.0.0.45-111.221.74.39-40010-udp	5	
10.0.0.45-111.221.74.39-40020-udp	8	
10.0.0.45-111.221.74.39-40030-udp	5	
10.0.0.45-111.221.74.40-40003-udp	9	
10.0.0.45-111.221.74.40-40015-udp	2	
10.0.0.45-111.221.74.40-40025-udp	2	
10.0.0.45-111.221.74.40-40030-udp	5	
10.0.0.45-111.221.74.41-40002-udp	6	
10.0.0.45-111.221.74.41-40008-udp	5	
10.0.0.45-111.221.74.41-40012-udp	2	
10.0.0.45-111.221.74.41-40014-udp	660W0000000000000000000000W0W0000000000000000000000W0	
10.0.0.45-111.221.74.41-40015-udp	2	
10.0.0.45-111.221.74.41-40019-udp	2	
10.0.0.45-111.221.74.41-40021-udp	2	
10.0.0.45-111.221.74.41-40022-udp	2	
10.0.0.45-111.221.74.41-40033-udp	2	
10.0.0.45-111.221.74.42-40004-udp	9	
10.0.0.45-111.221.74.42-40011-udp	9	
10.0.0.45-111.221.74.42-40012-udp	2	
10.0.0.45-111.221.74.42-40017-udp	6	
10.0.0.45-111.221.74.42-40031-udp	690	
10.0.0.45-111.221.74.42-40032-udp	620000000000000000000000000000000000000000000000	
10.0.0.45-111.221.74.42-443-udp	2	
10.0.0.45-111.221.74.43-40002-udp	2	
10.0.0.45-111.221.74.43-40005-udp	5	
10.0.0.45-111.221.74.43-40008-udp	6	
10.0.0.45-111.221.74.43-40021-udp	2	
10.0.0.45-111.221.74.43-40022-udp	2	
10.0.0.45-111.221.74.43-40030-udp	2	
10.0.0.45-111.221.74.44-443-udp	2	
10.0.0.45-111.221.74.45-40003-udp	620000000w00000000000000000000000000000000	
10.0.0.45-111.221.74.45-40012-udp	5	
10.0.0.45-111.221.74.45-40016-udp	290	
10.0.0.45-111.221.74.45-40024-udp	2	
10.0.0.45-111.221.74.45-443-udp	2	
10.0.0.45-111.221.74.46-40001-udp	2	
10.0.0.45-111.221.74.46-40009-udp	6	
10.0.0.45-111.221.74.46-40011-udp	550000000w00000000000000000000v00000B000000	
10.0.0.45-111.221.74.46-40016-udp	2	
10.0.0.45-111.221.74.46-40018-udp	6500000B0000v0000000000s00000000000000000000000000000000	
10.0.0.45-111.221.74.46-40022-udp	520000000s0000000000000000000000000000000	
10.0.0.45-111.221.74.46-40026-udp	2	
10.0.0.45-111.221.74.46-40029-udp	2	
10.0.0.45-111.221.74.46-40033-udp	5	
10.0.0.45-111.221.74.47-40022-udp	2	
10.0.0.45-111.221.74.47-443-udp	2	
10.0.0.45-111.221.74.48-40004-udp	990v00v00v0E0e0v00v0e0v00v0E0E0v0i0I0I0v00v0e0v0v0e0i0z00000v00v0e0I0z0v0E0e0v00v0	
10.0.0.45-111.221.74.48-40019-udp	220	
10.0.0.45-111.221.74.48-40029-udp	2	
10.0.0.45-111.221.77.140-40010-udp	5	
10.0.0.45-111.221.77.140-40026-udp	2	
10.0.0.45-111.221.77.140-40027-udp	6200000000000000000000000s00000000000B000000000	
10.0.0.45-111.221.77.140-40033-udp	2	
10.0.0.45-111.221.77.140-40034-udp	2	
10.0.0.45-111.221.77.141-40001-udp	5	
10.0.0.45-111.221.77.141-40027-udp	590S000000000000000000000000000000000000000000s00000000000	
10.0.0.45-111.221.77.141-443-udp	2	
10.0.0.45-111.221.77.142-40025-udp	860	
10.0.0.45-111.221.77.142-40027-udp	560s00s00000b00000	
10.0.0.45-111.221.77.143-40004-udp	5	
10.0.0.45-111.221.77.143-40006-udp	2	
10.0.0.45-111.221.77.143-40015-udp	5	
10.0.0.45-111.221.77.143-40018-udp	5	
10.0.0.45-111.221.77.143-40026-udp	2	
10.0.0.45-111.221.77.143-40027-udp	9	
10.0.0.45-111.221.77.143-40032-udp	2	
10.0.0.45-111.221.77.143-40034-udp	660s00b000s0b0b00b0f00c00t0a0s0f00s0s00s0s00s0s0s0s0B0s0w0s00s0s0s000t0a0t00t0c0a0	
10.0.0.45-111.221.77.144-33033-udp	5	
10.0.0.45-111.221.77.144-40012-tcp	990i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0I*I0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0z*i*I*z0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0	
10.0.0.45-111.221.77.144-40013-udp	6	
10.0.0.45-111.221.77.144-443-tcp	52000000000000000000000	
10.0.0.45-111.221.77.145-40004-udp	6	
10.0.0.45-111.221.77.145-40027-udp	55000000	
10.0.0.45-111.221.77.146-40004-udp	2	
10.0.0.45-111.221.77.146-40005-udp	2	
10.0.0.45-111.221.77.147-40011-udp	220	
10.0.0.45-111.221.77.147-40025-udp	220S00000000000000000000B000000000000000000000	
10.0.0.45-111.221.77.147-40032-udp	220	
10.0.0.45-111.221.77.148-40005-udp	2	
10.0.0.45-111.221.77.148-40009-udp	220	
10.0.0.45-111.221.77.148-40022-udp	6	
10.0.0.45-111.221.77.148-40034-udp	2	
10.0.0.45-111.221.77.149-40003-udp	220000B0000	
10.0.0.45-111.221.77.149-40007-udp	5	
10.0.0.45-111.221.77.149-40008-udp	2	
10.0.0.45-111.221.77.149-40018-udp	85000000000000000000000000000000000	
10.0.0.45-111.221.77.149-40019-rtcp	5	
10.0.0.45-111.221.77.149-40019-udp	550z0v000v0e0v0v0e0v0000000v0E0E0v0e0v0000z0E00E0V000000000000V0e0e0	
10.0.0.45-111.221.77.149-40025-udp	2	
10.0.0.45-111.221.77.149-40028-udp	650000000000000000	
10.0.0.45-111.221.77.149-40030-udp	2	
10.0.0.45-111.221.77.149-443-udp	2	
10.0.0.45-111.221.77.150-40001-udp	6200000	
10.0.0.45-111.221.77.150-40010-udp	2	
10.0.0.45-111.221.77.150-40017-udp	2	
10.0.0.45-111.221.77.151-40012-udp	5	
10.0.0.45-111.221.77.151-40015-udp	2	
10.0.0.45-111.221.77.151-40016-udp	2	
10.0.0.45-111.221.77.152-40016-udp	8	
10.0.0.45-111.221.77.152-40026-udp	9	
10.0.0.45-111.221.77.153-40009-udp	9200v00000b00000b00000F0000b0000E00000b00000	
10.0.0.45-111.221.77.153-40012-udp	6	
10.0.0.45-111.221.77.153-40017-udp	55000000000000000000v00000000000v000000000000000000000000	
10.0.0.45-111.221.77.153-40023-udp	5600000000000000000000000000000000000000000	
10.0.0.45-111.221.77.153-40027-udp	2	
10.0.0.45-111.221.77.153-40034-udp	220000000000000000000000E00000000000000000S0	
10.0.0.45-111.221.77.154-40018-udp	5500S0000000000000000000000000	
10.0.0.45-111.221.77.154-40027-udp	2	
10.0.0.45-111.221.77.154-40029-udp	6	
10.0.0.45-111.221.77.154-40031-udp	5	
10.0.0.45-111.221.77.155-40005-udp	5500000000000v0000000000000000000000000000	
10.0.0.45-111.221.77.155-40009-udp	990t0f0b0t0000w0f0t0z0v0s0i0f0f0f0t0z0c0e0s00w0c0f0f0d0w0000v0t0i0i0w0w0f0t00w0f0t0w0f0t0u0	
10.0.0.45-111.221.77.155-40012-udp	5	
10.0.0.45-111.221.77.155-40017-udp	520000000s000000000000000B00000000000000000	
10.0.0.45-111.221.77.155-40018-udp	620S0000000000000000000000000000000000000	
10.0.0.45-111.221.77.155-40030-udp	55000000000000000000000000	
10.0.0.45-111.221.77.155-40034-udp	2	
10.0.0.45-111.221.77.156-40004-udp	2	
10.0.0.45-111.221.77.156-40005-udp	5	
10.0.0.45-111.221.77.156-40008-udp	8	
10.0.0.45-111.221.77.156-40027-udp	9	
10.0.0.45-111.221.77.156-40030-udp	6	
10.0.0.45-111.221.77.157-40030-udp	9	
10.0.0.45-111.221.77.157-443-udp	22000000000000000000000000000000000000000000000000000	
10.0.0.45-111.221.77.158-40001-udp	95000000000000000000000000000000000	
10.0.0.45-111.221.77.158-40007-udp	6	
10.0.0.45-111.221.77.158-40015-udp	580000000y0000000000000000000000000v00000	
10.0.0.45-111.221.77.158-40017-udp	6	
10.0.0.45-111.221.77.158-40032-udp	5	
10.0.0.45-111.221.77.159-40007-udp	2	
10.0.0.45-111.221.77.159-40014-udp	52000000000000000000s00000v000000000	
10.0.0.45-111.221.77.159-40018-udp	62000000000000000000000000000000000000000000	
10.0.0.45-111.221.77.159-40021-udp	5200000000000000000000000000s00000000000s00	
10.0.0.45-111.221.77.159-443-udp	2	
10.0.0.45-111.221.77.160-40013-udp	5	
10.0.0.45-111.221.77.160-40023-udp	260000000000000000000000000000000000000000v00000000000	
10.0.0.45-111.221.77.160-443-udp	2	
10.0.0.45-111.221.77.161-40022-udp	990E0E0v00v0e0e0v00v0e0v0Z000000Z0E0E0e0i0v000000v0e0e0v00v0e0i0I0i0V00000	
10.0.0.45-111.221.77.161-40028-rtcp	2	
10.0.0.45-111.221.77.161-40028-udp	8	
10.0.0.45-111.221.77.162-40009-udp	220000b0000b0000B00000B00000	
10.0.0.45-111.221.77.162-40014-udp	520000000000000000000000000000000000000000	
10.0.0.45-111.221.77.162-40031-udp	62000000000000000000000000000000000000000000S00000	
10.0.0.45-111.221.77.165-40014-udp	9	
10.0.0.45-111.221.77.165-40019-udp	2	
10.0.0.45-111.221.77.165-40033-udp	650000000000000000000000000000000w00000000s00v000v000000	
10.0.0.45-111.221.77.166-40004-udp	220	
10.0.0.45-111.221.77.166-40007-udp	9	
10.0.0.45-111.221.77.166-40018-udp	2	
10.0.0.45-111.221.77.166-40019-udp	6	
10.0.0.45-111.221.77.166-40020-udp	5	
10.0.0.45-111.221.77.166-40028-udp	6	
10.0.0.45-111.221.77.167-40004-udp	5	
10.0.0.45-111.221.77.167-40012-udp	6	
10.0.0.45-111.221.77.167-40017-udp	2	
10.0.0.45-111.221.77.167-40019-udp	2	
10.0.0.45-111.221.77.167-40026-udp	5	
10.0.0.45-111.221.77.168-40003-udp	5	
10.0.0.45-111.221.77.168-40012-udp	2	
10.0.0.45-111.221.77.168-40013-udp	2	
10.0.0.45-111.221.77.168-40014-udp	2	
10.0.0.45-111.221.77.168-40030-udp	250000000000000000000000000000000000000000000000	
10.0.0.45-111.221.77.168-443-udp	2	
10.0.0.45-111.221.77.169-40001-udp	2	
10.0.0.45-111.221.77.169-40014-udp	990000000000000000000000000000000000000000	
10.0.0.45-111.221.77.169-40026-udp	2	
10.0.0.45-111.221.77.170-40028-udp	6	
10.0.0.45-111.221.77.170-443-udp	2	
10.0.0.45-111.221.77.171-40004-udp	8	
10.0.0.45-111.221.77.171-40008-udp	6	
10.0.0.45-111.221.77.171-40029-udp	220000000s000000000000000000000s000000000000B0000000000000	
10.0.0.45-111.221.77.172-40016-udp	2	
10.0.0.45-111.221.77.172-40020-udp	5	
10.0.0.45-111.221.77.172-40026-udp	5	
10.0.0.45-111.221.77.172-443-udp	2	
10.0.0.45-111.221.77.173-40004-udp	2	
10.0.0.45-111.221.77.173-40005-udp	2200S0000000000000000000000000s00000	
10.0.0.45-111.221.77.173-40015-udp	6	
10.0.0.45-111.221.77.173-40017-udp	2	
10.0.0.45-111.221.77.173-40022-udp	2	
10.0.0.45-111.221.77.174-40002-udp	6	
10.0.0.45-111.221.77.174-40004-udp	2	
10.0.0.45-111.221.77.174-40007-udp	220000000000000E00000000000s0000000000000000	
10.0.0.45-111.221.77.174-40011-udp	2	
10.0.0.45-111.221.77.174-40021-udp	6	
